"docente","materia","nota_media"
114,"GENERAL",6.5
114,"TEC1E",4.24
114,"TEC3E",6.03
114,"TIC1B",8.26
115,"GENERAL",6.24
115,"GHI4E",6.49
115,"VET1E",5.93
116,"GENERAL",6.63
116,"SFR1E",7.16
116,"SFR2E",5.51
116,"SFR4E",5.87
116,"VET1E",7.06
117,"GENERAL",5.1
117,"LCL1B",5.56
117,"LCL1BA",6.07
117,"LCL1E",5.08
117,"LCL1EA",7.75
117,"LCL2BA",6.17
117,"LCL2E",3.75
117,"LCL3E",3.97
117,"LCL3EA",4.22
117,"LCL4E",5.48
117,"LCL4EA",5.91
117,"RCC1E",3.61
118,"ATE3EA",9.67
118,"GENERAL",4.93
118,"MAA3E",5.64
118,"MAB3E",3.38
118,"MAB4E",3.91
118,"MAT1E",5.01
118,"MAT2E",4.17
118,"MAT2EA",4.99
118,"MAT3EA",4.81
118,"MCS1B",4.69
118,"MCS1BA",5.13
118,"MCS2B",4.59
118,"MTA4EA",5.19
119,"GENERAL",3.75
119,"PIN1E",3.75
120,"GENERAL",6.62
120,"MUS2E",6.21
120,"MUS3E",7.28
121,"GENERAL",5.88
121,"PIB1E",6.86
121,"PIN2E",3.9
121,"PIN3E",6.34
122,"GENERAL",6.14
122,"PIB1E",7.11
122,"PIB2E",6.47
122,"PIN2E",3.71
123,"GENERAL",4.35
123,"MAT2E",4.35
124,"FIQ3E",5.4
124,"GENERAL",5.4
125,"ATE4EA",8.15
125,"FIQ1B",5.54
125,"FIQ2E",5.85
125,"FIQ2EA",6.27
125,"FIQ3E",4.72
125,"FIQ3EA",4.2
125,"FIQ4E",5.14
125,"FIQ4EA",5.07
125,"GENERAL",5.74
126,"ECO1B",7.57
126,"ECO4E",7.35
126,"EEM2B",5.9
126,"FAG2B",8.07
126,"GENERAL",7.35
127,"AC1SE",0
127,"AC2SE",0
127,"AC3SE",0
127,"AC4SE",0
127,"AF1SE",0
127,"AF2SE",0
127,"AF3SE",0
127,"AS1SE",0
127,"AS2SE",0
127,"AS3SE",0
127,"AS4SE",0
127,"GENERAL",0
132,"EFI1E",5.08
132,"EFI2E",4.46
132,"GENERAL",4.8
133,"DCR3EA",8.44
133,"DIG4EA",7.75
133,"DYO1BA",8.22
133,"GENERAL",6.58
133,"IIN1E",6.36
133,"ISO2BA",7.99
133,"ROB2E",6.08
133,"TEC1E",4.83
133,"TEC3E",5.67
133,"TEC4E",5.41
133,"TIC1B",7.97
133,"TIC4E",7.41
133,"TYD1EA",5.06
133,"TYD3EA",6.4
134,"GENERAL",4.84
134,"PIB2E",6.46
134,"PIB4E",6.23
134,"PIN1E",3.58
134,"PIN2E",3.03
135,"ATD3EA",0
135,"GENERAL",5.09
135,"GHI1E",4.99
135,"GHI1EA",5.2
135,"GHI2E",3.24
135,"GHI4E",6.67
136,"ATE2EA",9.21
136,"ATE3EA",7.97
136,"GENERAL",5.56
136,"LEI1EA",5.34
136,"LEI2EA",4.61
136,"LEI3EA",6.18
136,"PIN1E",3.92
136,"PIN4E",3.51
137,"BGE1E",5.82
137,"BGE3E",4.06
137,"GENERAL",5.44
137,"IIN1E",5.88
137,"IIN2E",6.02
138,"GENERAL",6.43
138,"IIN1E",6.37
138,"TEC1E",4.57
138,"TIC2B",8.03
139,"AED3EA",8.26
139,"AED4E",8
139,"ATE2EA",7.69
139,"EFI1BA",6.78
139,"EFI1E",4.03
139,"EFI1EA",3.76
139,"EFI2E",4.94
139,"EFI2EA",5.49
139,"EFI3E",5.19
139,"EFI3EA",5.29
139,"EFI4E",6.2
139,"GENERAL",5.52
140,"GENERAL",7.93
